Location,Fuel_Type,Transmission,Owner_Type,Seats,Price,age,KM_Driven,make,mileage,engine,power
Ahmedabad,Petrol,Manual,First,5,3.9,5,53,toyota,17.71,1197,78.9
Coimbatore,Petrol,Manual,First,5,3.91,2,38,maruti,15.1,1196,73
Bangalore,Petrol,Manual,First,4,2.15,5,25,tata,25.4,624,37.5
Coimbatore,Petrol,Automatic,First,5,6.55,3,39,nissan,19.15,1198,75.94
Mumbai,Diesel,Manual,First,5,7.5,3,55,maruti,24.3,1248,88.5
Pune,Petrol,Manual,First,5,2.45,8,43,maruti,18.9,998,67.1
Coimbatore,Petrol,Automatic,First,4,3.23,2,32,tata,21.9,624,37.48
Kochi,Petrol,Manual,First,5,7.47,2,44,maruti,20.73,1373,91.1
Coimbatore,Petrol,Manual,First,5,5.81,3,30,maruti,21.1,1197,85.8
Hyderabad,Petrol,Manual,First,5,2.6,5,88,maruti,24.07,998,67.1
Chennai,Petrol,Manual,Second,5,1.6,9,94,maruti,19.7,796,46.3
Mumbai,Petrol,Automatic,First,5,6,4,12,honda,19,1199,88.7
Kolkata,Diesel,Manual,First,5,3.7,5,45,honda,25.8,1498,98.6
Kochi,Petrol,Manual,First,5,5.43,3,34,maruti,22,1197,81.8
Pune,Petrol,Manual,First,5,2.85,5,38,chevrolet,18.6,1199,76.8
Kochi,Petrol,Manual,First,5,9.9,1,41,maruti,20.73,1373,91.1
Chennai,Diesel,Manual,First,5,6.25,3,35,maruti,22.9,1248,74
Kochi,Petrol,Manual,First,5,4.23,0,14,hyundai,21.1,814,55.2
Jaipur,Diesel,Manual,First,5,3.5,7,65,volkswagen,22.07,1199,73.9
Kolkata,Petrol,Manual,First,5,2.5,3,6,datsun,20.63,1198,67.06
Kolkata,Petrol,Manual,First,5,2.39,6,33,honda,19.4,1198,86.8
Kochi,Diesel,Manual,First,5,7.11,4,42,honda,26,1498,98.6
Ahmedabad,Petrol,Manual,First,5,6.2,2,24,maruti,20.4,1197,81.8
Kochi,Diesel,Manual,First,5,4.42,5,147,ford,22.7,1498,89.84
Jaipur,Diesel,Manual,Second,5,2.1,9,66,ford,20,1399,68
Bangalore,Petrol,Manual,Second,5,3.65,7,45,honda,19.4,1198,86.8
Delhi,Petrol,Manual,First,5,2.75,6,60,hyundai,20.36,1197,78.9
Kolkata,Petrol,Manual,First,5,6.5,0,1,hyundai,18.9,1197,81.86
Bangalore,Diesel,Manual,First,5,8.35,5,29,hyundai,22.54,1396,88.73
Jaipur,Diesel,Manual,First,5,1.5,7,88,chevrolet,25.44,936,57.6
Hyderabad,Diesel,Manual,First,5,4.2,7,63,volkswagen,22.07,1199,73.9
Kochi,Petrol,Manual,First,5,7.5,2,24,maruti,21.4,1197,83.1
